jan,apr,aug
21.06,11.04,1.69
23.67,11.01,2.33
18.83,10.49,2.08
17.38,10.44,1.57
15.91,10.38,1.77
15.77,10.54,2.05
14.52,10.75,1.81
13.38,10.54,1.83
12.33,11.35,2.19
12.19,10.35,1.96
10.65,10.31,2.03
11.62,10.54,2.19
10.01,10.48,2.32
12.21,10.6,2.82
13.66,10.24,2.53
10.3,10.93,2.72
10.5,10.86,2.65
14.84,10.26,2.58
19.45,10.08,2.55
19.38,10.57,3.23
19.16,10.69,3.37
19.92,11.21,4.1
17.09,10.8,2.84
18.71,10.76,3.06
19.74,10.98,4.14
20.02,10.28,3.21
21.88,10.07,4.14
24.6,10.21,2.57
17.35,10.16,4.7
16.94,10.17,2.62
16.69,10.24,2.65
17.01,10.06,2.36
17.27,10.91,2.83
17.48,10.07,2.55
15.56,10.76,6.47
15.58,9.75,2.19
16.77,9.5,2.2
20.99,9.72,3.73
17.45,9.66,2.3
17.47,9.85,5.86
19.62,9.44,5.04
20.63,9.17,4.43
22.43,9.18,3.81
20.81,8.94,7.26
21.56,8.9,3.09
24.02,9.06,8.73
20.83,9.02,5.15
20.77,9.22,4.3
21.68,9.38,6.58
28.2,9.12,6.92
26.38,9.73,7.03
27.02,9.53,8.1
24.02,9.01,9.38
25.55,9.13,7.45
29.24,9.13,5.31
27.58,9.05,3.88
26.14,8.67,4.22
24.22,8.63,4.57
28.45,10.29,4.78
34.25,9.04,3.94
29.14,10.06,4.56
23.87,9.17,6.22
27.99,10.26,4.38
27.66,9.19,4.44
30.28,9.61,4.5
34.81,9.54,3.94
37.46,9.88,3.38
37.02,9.93,3.05
36.75,10.4,2.8
32.73,10.17,2.72
28.35,10.93,2.66
31.87,9.68,3.63
29.87,9.93,2.59
30.74,10.06,3.4
31.97,9.48,2.98
38.28,8.35,1.91
39.38,8.62,2.26
39.76,8.04,1.68
38.03,8.4,1.84
36.51,8.89,2.43
35.76,9.03,2.41
33.99,8.52,1.8
32.5,9.53,2.02
32.67,9.05,3.54
33.51,9.73,1.78
32.9,9.59,2.42
31.97,9.58,1.74
33.92,9.64,2.31
30.52,10.03,2
29.06,10.6,2.68
27.24,10.98,1.94
25.94,10.99,2.83
24.05,14.51,1.96
24.44,16.6,1.63
23.85,16.99,1.7
22.86,16.91,1.42
22.01,17.95,2.47
21.38,18.64,2.11
22.51,17.62,1.7
21.9,17.85,1.68
20.67,16.4,1.72
20.95,15.69,2.52
22.52,17.86,1.84
23.73,17.56,1.61
21.89,17.75,1.33
24.02,17.96,1.75
22.96,18.51,2.27
21.93,15.81,1.68
21.64,17.08,1.77
20.28,16.98,2.59
20.66,16.98,3.03
21,14.8,3.85
20.86,14.69,2.82
20.13,14.81,2.75
18.96,14.58,3.03
19.4,14.08,2.92
20.01,13.25,2.96
20.06,12.35,2.79
20.56,12.75,2.84
22.05,12.95,2.53
23.25,13.1,2.47
24.74,13.15,2.42
24.95,12.95,2.89
23.2,12.83,3.21
26.09,13.31,2.65
26.78,12.59,3.08
25.79,12.52,3.08
34.7,13.09,3.25
37.48,11.98,3.31
36.61,12.84,2.37
38.6,12.97,3.42
30.41,12.48,2.61
31.26,13.28,2.72
30.91,12.65,2.74
30.75,12.63,4.3
29.48,12.61,2.47
28.75,12.59,2.94
27.3,12.98,3.36
29.3,13.05,4.57
32.49,13.48,3.26
30.16,12.74,2.95
30.86,13.53,4.44
27.31,13.28,4.2
27.97,12.32,3.74
26.89,12.34,3.08
28.1,12.22,3.74
25.16,12.53,4.26
24.49,12.52,3.63
22.71,12.16,6.67
23.95,12.46,4.86
24.18,12.64,5.49
23.05,12.27,4.77
21.8,12.86,4.5
21.77,12.64,3.76
19.49,12.32,7.67
20.49,13.05,3.74
19.79,12.77,4.6
20.34,12.77,3.45
18.46,12.23,3.66
19.82,12.74,3.11
18.67,12.45,3.17
16.91,12.48,3.71
18.72,12.66,3.08
16.3,12.71,4.44
17.2,12.69,3.7
17.21,13.34,3.34
18.12,12.2,3.62
21.79,12.21,3.58
18.36,12.07,3.21
16.65,12.24,3.7
16.69,12.69,4.11
17.74,12.69,3.63
18.49,12.32,3.83
17.68,12.65,3.16
16.73,12.21,2.93
17.17,12.2,3.1
17.08,12.76,2.41
17.19,12.03,3.88
18.53,12.86,2.51
17.49,11.71,2.01
16.37,12.58,2.68
15.49,12.09,3.25
17.43,11.59,2.27
16.45,12.12,2.84
15.48,11.31,2.91
15.98,11.41,2.85
14.31,12.11,2.67
13.65,11.78,2.24
14.14,11.25,2.86
14.14,11.18,2.69
14.41,10.84,5.39
13.87,10.9,4.42
12.68,10.86,2.67
11.22,10.63,3.16
9.6,11.17,2.45
8.99,11.03,2.33
8.39,11.41,2.49
8.52,11.1,2.86
8.7,11.9,2.91
8.32,10.35,3.03
8.09,10.69,3.14
7.31,11,3.28
6.57,10.82,2.9
6.72,11.01,2.87
6.08,11.37,3.24
5.22,11.43,3.51
4.62,11.4,3.52
8.47,11.78,3.48
5.04,12.11,3.77
6.48,13.69,3.7
5.34,14.46,3.96
4.84,14.34,4.51
6.53,14.32,3.75
5.86,14.61,3.9
4.66,14.47,3.44
5,13.65,3.49
4.84,14.11,3.41
4.11,14.27,3.93
3.92,14.54,3.38
4.03,14.5,3.28
6.5,14.63,3.21
4.99,14.6,4.08
4.45,14.26,5.15
3.67,13.45,5.65
4.12,12.99,5.7
3.49,13.18,3.23
3.31,11.51,4.44
3.48,11.73,3.72
4.76,9.01,4.77
3.73,9.25,5.49
3.58,9.51,4.56
3.66,10.04,4.67
3.5,9.25,5.16
4.09,8.8,4.3
4.7,9.27,4.82
5.6,9.28,7.04
5.19,10.06,4.96
6.58,9.84,4.88
4.68,9.64,5.87
8.24,9.57,6.27
6.38,9.28,5.19
6.87,9.6,5.79
4.16,9.38,4.94
4.08,9.27,6.03
4.09,9.5,5.52
6.36,9.2,6.42
6.17,9.59,7.7
5.37,9.75,6.92
11.54,9.17,5.86
4.46,9.41,6.23
5.54,9.11,6.39
4.12,9.8,5.6
3.56,9.26,7.01
7.65,9.52,5.87
7.62,10.35,6.41
4.55,10.27,3.66
4.08,10.31,5.06
4.28,10.1,3.8
5.31,9.9,6.59
4.51,10.14,4.46
5.1,10.05,4.88
4.38,10.55,4.14
4.45,9.85,3.62
7.47,9.42,2.97
4.46,11.45,2.84
5.14,12.23,2.54
6.36,12.64,2.75
7.33,12.6,2.74
8.1,12.19,2.14
9.48,13.05,1.91
17.53,14.83,3.01
17.7,15.37,1.61
17.89,15.82,1.74
16.66,15.74,1.8
16.39,17.82,1.69
19.59,17.9,1.7
20.69,15.89,1.82
21.76,16.09,1.85
19.93,15.94,1.68
17.55,16.18,1.98
15.92,15.59,2.15
13.56,16.45,1.98
12.82,18.68,2.18
11.28,18.76,2.08
11.7,17.65,1.81
11.89,17.13,2.07
10,16.13,1.5
9.67,16.57,1.56
11.05,18.07,1.36
9.14,20.12,1.99
8.98,20.12,1.64
8.18,21.17,1.37
8.78,22.54,1.63
9.28,23.18,1.5
9.57,20.58,1.35
7.28,19.51,1.5
6.35,18.96,1.56
6.42,20.02,1.69
5.7,20.61,1.45
5.25,19.43,1.81
4.73,18.23,3.12
4.5,16.17,3.08
4.78,16.55,2.32
4.06,15.43,1.81
4.18,16.14,2.03
4.9,16.52,2.18
5.2,15.78,2.48
4.83,15.15,2.01
3.71,15.22,2.74
4.78,15.29,3.25
4.31,14.97,2.41
4.29,14.6,3.04
4.76,14.7,2.6
4.88,15.34,2.32
5.78,14.04,2.12
5.61,14.78,2.36
6.56,14.46,2.07
7.56,14.01,3.36
7.46,14.33,2.7
8.15,13.92,2.98
9.16,13.93,3.55
10.79,13.79,6.69
11.83,14.19,3.7
11.19,13.52,3.81
11.15,13.36,3.69
11.28,13.1,4.76
11.3,13.5,6.52
11.29,13.71,5.32
12.05,13.09,9.13
11.73,13.22,3.22
12.61,13.48,3.93
13.55,13.05,3.78
15.3,12.75,3.58
15.77,12.88,3.83
14.6,13.45,2.86
16.15,12.79,4.64
16.42,13.15,3.42
14.47,12.99,3.28
14.73,13.18,3.76
15.11,14.14,4.02
13.96,14.98,3.33
13.81,15.49,3.89
15.15,15.56,4.65
14.71,15.46,5.14
14.81,15.24,5.06
14.53,15.14,4.38
13.87,15.83,4.25
15.23,15.59,7.67
13.3,15.99,10.73
13.33,16.4,6.73
14.35,15.94,4.21
13.94,15.81,2.56
14.2,14.23,2.7
14.17,13.03,2.63
13.72,13.32,2.17
14.73,12.12,1.68
15.7,11.88,2.85
14.31,11.91,0.91
14.56,12.09,0.72
14.39,12.01,1.7
13.75,11.94,1.1
14.27,11.35,1.71
13.86,11.41,0.45
13.83,10.87,2.33
13.22,10.91,0.65
13.14,10.37,0.51
12.31,10.29,1.14
14.78,10.69,0.33
13.11,10.63,0.37
12.68,10.43,0.61
13.56,10.78,1.36
13.2,10.85,1.41
13.35,10.35,1.81
14.35,10.35,2.34
16.05,11.17,1.88
14.73,10.51,1.24
15.19,10.78,2.41
16.07,10.77,1.89
16.08,11.14,4.4
16.33,11.06,1.78
16.37,11.61,4.12
15.15,10.62,1.65
15.63,10.82,2.92
15.52,11.23,1.93
16.54,10.73,1.64
15.59,10.67,1.44
13.45,10.15,1.89
15.07,11.23,2.86
13.91,10.84,2.24
13.08,11.07,2.83
12.86,10.63,4.21
12.99,10.9,3.72
13.04,11.41,3.15
15.67,11.59,3.61
13.12,11.83,3.14
12.47,12.2,4.88
12.48,12.41,3.38
14.45,12.52,2.96
13.6,11.59,2.62
13.14,12.14,3
14.66,12.06,3.09
14.64,12.1,3.35
15.11,12.34,3.35
13.93,12.19,2.95
13.23,12.83,3.02
13.1,12.99,4.19
13.37,13.42,3.05
14.66,12.99,3.4
13.33,12.49,3.35
13.85,13.38,3.45
12.82,12.75,3.68
12.35,12.6,3.31
12.49,9.03,2.54
11.41,8.76,2.81
11.99,9.3,1.92
12.68,8.67,2.38
11.03,8.96,1.91
12.16,8.62,1.55
11.42,8.53,1.97
11.72,8.42,2.12
13.76,7.81,2.68
15.44,8.3,2.43
19.96,8.37,2.45
16.73,8.36,2.92
23.44,9.2,2.92
21.11,8.81,4.13
29,8.45,4.07
24.46,8.04,4
26.07,9.06,4.73
25.65,9.2,4.75
26.11,9.16,3.57
34.53,9.53,5.18
32.09,9.24,5.51
32.42,9.59,3.95
27.12,8.82,4.74
28.66,8.87,4.04
33.33,9.13,3.95
28.59,9.18,6.44
27.6,8.55,4.75
27.37,8.69,8.14
29.16,9.49,7.74
28.78,9.66,4.4
32.33,9.91,5
35.51,9.7,3.83
33.55,10.01,3.44
33.89,10.57,3.87
34.55,10.59,3.96
35.16,10.79,3.06
37.25,10.86,2.23
35.6,11.33,2.84
36.5,11.25,2.5
38.74,11.31,2.51
40.97,10.13,2.78
36,11.01,1.95
33.64,10.82,1.85
39.37,11.17,2.73
42.27,10.83,2.27
48.06,12.21,2.09
43.23,11.48,2.23
44.54,11.19,2.21
43.37,11.93,1.99
42.33,13.98,2.01
43.68,14.52,2.16
41.91,13.37,2.2
42.23,14.67,2.3
43.44,13.8,2.41
40.78,13.99,2.95
37.73,14.2,2.12
36.95,14.47,2.2
36.42,15.34,2.47
36.07,13.91,1.98
33.89,15.22,1.83
34.71,14.92,2.65
33.15,15.41,1.88
34.81,15.82,3.08
34.25,15.3,2.63
30.77,18.4,2.12
32.07,17.58,2.37
26.95,18.28,2.17
25.35,18.67,1.97
24.83,19.71,1.75
24.25,19.47,1.91
28.21,21.53,1.76
27.33,21.63,1.71
27.5,21.72,2.03
28.21,18.59,1.62
26.4,20.18,3.7
28.49,20.24,1.93
28.08,20.19,1.91
28.22,21.12,1.99
29.69,19.4,2.3
29.64,19.68,1.77
28.04,18.48,1.98
28.72,18.78,1.97
28.98,17.43,1.9
29.62,17.61,1.7
28.17,17.57,2.77
24.93,16.52,1.41
25.61,14.16,1.64
25.9,14.05,1.6
25.2,14.2,2.68
25.79,13.5,2.34
26.3,13.35,2.26
27.47,13.74,2.13
26.63,14.06,3.09
26.34,13.68,1.81
25.02,14.42,2.04
26.44,13.44,2.61
28.32,13.68,3.19
31.47,13.78,1.62
32.69,13.11,1.66
27.04,13.21,1.95
25.83,12.64,1.95
31.47,13.47,1.85
29.03,12.73,1.43
24.33,12.81,1.65
22.91,12.85,2.65
23.5,13.43,0.87
23.79,13.85,1
22.64,13.48,0.94
21.75,13.72,1.31
22.77,13.56,1.22
22.57,13.32,1.87
22.42,14.36,3.11
22.08,13.66,2.6
22.62,13.39,1.99
21.57,13.66,2.44
23.16,12.78,2.94
24.96,12.99,3.85
24.35,12.85,3.32
24.93,13.03,2.26
24.65,13.11,5.27
23.11,13.22,3.22
22.5,12.85,2.73
22.07,13.03,3.21
25.21,12.44,2.05
28.9,13.04,3
28.74,13.04,2.17
29.3,13.45,2.24
28.28,12.61,3.33
28.56,12.84,1.77
26.46,13.22,2.22
26.25,12.52,1.95
25.01,12.56,2.27
24.47,13.13,2.09
24.17,13.46,2.11
24.25,12.53,6.96
22.79,13.84,4.95
23.02,14.07,4.46
20.57,15.93,5.31
21.45,14.76,5.38
23.49,15.05,1.62
20.97,13.47,2.8
20.47,12.9,2.69
20.36,14.68,1.8
20.4,13.22,1.79
20.61,15.15,2.93
20.42,12.84,8.63
20.72,13.34,1.58
20.11,12.71,1.89
19.1,12.69,1.73
20.36,12.5,1.64
19.78,12.8,3.13
18.12,12.64,5.01
17.99,13,3.14
16.9,12.44,2.67
21.25,12.81,3.64
17.43,13.04,1.91
15.84,12.7,1.97
15.5,12.17,2.39
13.65,13.21,2.4
10.24,12.86,3.38
10.19,13.61,2.89
9.54,13.64,2.79
10.07,13.82,2.81
9.66,14.02,2.84
11.02,14.59,2.18
11.23,13.55,3.38
10.81,14.04,2.84
10.51,13.52,3.01
11.73,13.55,2.14
13.19,14,2
15.66,14.13,3.19
13.9,13.94,2.31
9.54,13.86,2.54
9.03,13.38,2.21
9.01,13.69,2.6
9.56,13.59,2.03
9.89,14.08,2.53
10.14,14.22,2.18
9.06,14.04,2.31
8.9,14.09,1.99
9.83,14.34,2.14
11.06,14.2,2.13
11.23,13.66,2.36
10.26,14.03,2.27
21.07,16.44,2.44
10.08,11.02,2.2
10.9,10.78,2.23
13.03,10.93,2.3
12.58,10.31,2.75
11.08,10.32,3.49
19.45,10.51,2.65
14.24,10.02,2.21
11.17,10.52,2.19
11.45,10.35,2.41
12.42,9.74,2.59
17.99,9.45,2.08
17.21,10.12,2.01
13.24,9.55,2.2
13.25,10.93,3.04
14.95,8.88,3.91
14.58,9.72,3.38
14.67,10,2.61
18.25,9.19,2.56
15.93,10.15,2.43
16.94,10.73,3.04
17.1,11.02,2.57
15.72,10,2.09
16.44,10.27,2.55
15.05,9.97,3.01
21.7,10.12,2.76
16.42,9.68,2.25
22.08,10.17,2.05
20.11,10.58,2.44
18.77,9.37,3.78
16.41,9.9,3.31
20.12,10.43,3.6
15.73,9.97,3.46
14.04,9.88,4.75
16.47,9.78,3.61
18.82,10.21,4.49
27.35,10.11,4.09
25.66,10.34,4.37
25.99,10.76,5.25
27.82,10.6,5.02
31.41,11.18,4.56
29.84,10.25,5.02
29.98,10.02,3.41
37.86,11.1,3.47
39.11,10.46,2.99
32.95,10.58,4.84
30.3,11.62,4.08
31.77,11.86,3.66
25.28,11.64,3.74
24.56,11.37,3.45
24.86,12.23,2.39
21.8,11.59,2.79
21.38,13.22,2.68
21.06,10.5,3.81
19.81,9.8,3.15
20.24,10.75,1.98
22.62,10.17,1.99
21.96,11.3,1.62
22.59,9.25,1.43
21.77,10.66,1.22
21.53,14.91,1.92
22.33,14.4,1.81
22.56,15.37,0.89
24.66,17.51,1.2
24.73,18.85,1.29
24.21,18.03,1.19
23.7,18.57,1.44
23.77,19.69,1.31
25.12,18.12,1.36
25.52,18.47,1.34
23.01,19.9,1.36
23.61,19.95,1.16
24.9,20,1.24
26.6,19.93,1.16
25.67,19.26,1.53
26.61,18.16,1.91
26.29,17.12,1.3
25.93,17.14,1.4
25.22,16.1,1.4
24.59,15.63,1.3
26.16,15.79,1.28
25.83,16.32,1.42
27.21,17.57,1.43
27.59,20.6,1.36
29.96,23.99,1.46
26.37,23.12,1.66
25.11,22.53,1.85
29.64,21.64,1.44
26.35,22.8,1.55
24.1,21.31,1.26
22.58,21.91,2.13
23.45,18.97,1.84
22.2,21.3,1.69
21.64,20.24,1.24
22.89,20.57,1.63
23.05,19.19,1.49
23,16.41,1.23
25.8,16.04,1.34
23.98,17.14,1.28
27.66,15.74,1.94
27.29,15.68,1.39
26.04,14.55,1.51
25.7,14.31,1.31
24.37,14.46,1.33
24.29,14.8,0.98
23.99,14.76,1.36
26.85,14.54,1.38
23.93,15.1,1.37
22.18,15.05,1.82
22.1,14.91,1.49
20.93,14.93,1.46
20.88,13.92,3.05
21.05,13.89,2.76
18.83,13.66,4.43
17.82,13.07,2.76
17.59,13.77,2.9
16.61,13.97,2.87
17.31,14.71,3.23
15.38,16.78,3.84
15.87,18.56,2.62
14.33,12.96,4.33
15.34,13.73,3.23
14.34,13.3,2.16
15.29,12.43,2.24
15.75,12.87,2.24
15.7,13.19,1.77
14.98,12.94,1.56
14.43,12.79,1.48
14.64,12.36,1.6
14.04,11.63,2.68
15.81,11.83,1.38
15.54,11.91,1.4
15.93,11.72,1.88
15.62,12.19,2.03
16.28,11.1,1.93
19.94,11.64,2.35
21.57,11.67,2.07
23.74,11.1,2.66
24.96,11.59,2.64
26.61,10.74,2.17
25.14,11.39,2.2
24.82,10.75,1.78
24.77,11.65,1.8
25.7,11.02,1.54
24.01,11.27,2.49
30.08,12.08,3.13
29.18,11.94,3.97
39.81,11.22,3.89
28.96,10.9,4.2
38.88,11.14,4.72
41.28,11.16,2.04
43.43,11.81,1.63
44.15,11.87,1.85
37.02,11.78,1.98
39.52,11.42,3.43
42.7,10.83,2.41
41.55,11.11,1.3
43.92,11.21,1.39
45.97,10.79,1.84
36.9,10.61,1.48
40.43,10.32,2.23
37.94,10.64,2.37
38.83,10.69,4.33
34.03,10.73,3.58
33.87,10.88,2.97
33.32,10.5,3.29
28.35,10.85,3.01
27.15,11.04,4.56
26.62,10.81,3.29
29.18,10.82,5.2
23.16,11.21,2.7
22.81,11.08,2.88
24.47,10.92,2.58
23.45,11.01,1.54
23.42,10.59,2.6
